lab_l,lab_a,lab_b,hsv_s,hsv_v,uniformity,image_quality,detection_confidence,dose_ppm_h,source
88.23529411764706,-1.0,-1.0,0.011764705882352941,0.8705882352941177,0.7166160222436259,0.9863316596840468,0.6054861160796396,0,supplied_photo_first_three
80.7843137254902,-4.0,-4.0,0.10196078431372549,0.8156862745098039,0.719411715953144,0.711995728049977,0.922458430085072,0,supplied_photo_first_three
94.90196078431373,-7.0,0.0,0.08235294117647059,0.9568627450980393,0.6701957591824771,0.8321528560080813,0.8683608370862002,0,supplied_photo_first_three
94.90196078431373,-2.0,-5.0,0.07058823529411765,0.9803921568627451,0.7555548447664027,0.7800079938757595,0.7981070259719288,0,supplied_photo_first_three
86.27450980392157,-4.0,-6.0,0.11372549019607843,0.8901960784313725,0.5844288098645268,0.885220572481136,0.6659602196120031,0.04346160333663622,supplied_photo_first_three
100.0,-1.0,0.0,0.011764705882352941,1.0,0.9264096398672738,0.6698233319329728,0.8741492563437101,0.22636468761700632,supplied_photo_first_three
93.33333333333333,-8.0,-3.0,0.10588235294117647,0.9490196078431372,0.7962517348194418,0.9506747331359453,0.6288574777577853,0,supplied_photo_first_three
95.29411764705883,-7.0,2.0,0.07058823529411765,0.9607843137254902,0.6116383660473655,0.7535156287264525,0.5856557835651593,0.19005070769671598,supplied_photo_first_three
86.66666666666667,-3.0,-2.0,0.047058823529411764,0.8627450980392157,0.6949498724470472,0.7484601661413686,0.6827532774817389,0.08308853963840689,supplied_photo_first_three
92.15686274509804,-6.0,0.0,0.06666666666666667,0.9254901960784314,0.6663848951889088,0.6640219262258196,0.8946637825046401,0.12996311684659168,supplied_photo_first_three
85.09803921568627,-7.0,-1.0,0.09411764705882353,0.8509803921568627,0.9071877386197719,0.6555693599843819,0.6916420040969998,0.20904827532896922,supplied_photo_first_three
96.07843137254902,-9.0,-1.0,0.10196078431372549,0.9764705882352941,0.709589370340912,0.7762874681984292,0.9496744049969863,0.1419787910696978,supplied_photo_first_three
83.92156862745098,-5.0,0.0,0.06666666666666667,0.8313725490196079,0.7497913790894347,0.7059127836570751,0.8902070283067129,0,supplied_photo_first_three
83.13725490196079,-4.0,-8.0,0.13333333333333333,0.8705882352941177,0.8332603543907637,0.8360760111473605,0.9826792695121054,0.15086435948029128,supplied_photo_first_three
84.70588235294117,-13.0,5.0,0.13333333333333333,0.8549019607843137,0.8543078602151394,0.7005354176388587,0.826422287178527,0,supplied_photo_first_three
90.98039215686275,-5.0,-6.0,0.11372549019607843,0.9411764705882353,0.6175021326078325,0.7296913893970298,0.7067942639667302,0,supplied_photo_first_three
80.7843137254902,-6.0,-6.0,0.13725490196078433,0.8274509803921568,0.9593252557323468,0.8750101489271435,0.5831841073510867,0.21401200843279106,supplied_photo_first_three
93.33333333333333,-1.0,-3.0,0.047058823529411764,0.9490196078431372,0.6108166570990012,0.9529149868931424,0.8219221976442205,0,supplied_photo_first_three
90.98039215686275,-4.0,-3.0,0.07058823529411765,0.9215686274509803,0.8727330305082113,0.8728124093495473,0.8269032320754531,0.02128412870790931,supplied_photo_first_three
93.33333333333333,-8.0,-2.0,0.09411764705882353,0.9411764705882353,0.8309824988492046,0.6379369821535759,0.6699476992091924,0,supplied_photo_first_three
89.41176470588235,1.0,-10.0,0.11372549019607843,0.9568627450980393,0.8278972439301221,0.6898590241348901,0.7528233918757338,0,supplied_photo_first_three
93.72549019607843,-7.0,0.0,0.08235294117647059,0.9450980392156862,0.9597205269489973,0.9867319291313461,0.6727902067474347,0.3192275679240003,supplied_photo_first_three
80.7843137254902,-7.0,0.0,0.09411764705882353,0.803921568627451,0.6283605703845598,0.6521580385713738,0.858091990653939,0.09359161730082166,supplied_photo_first_three
88.62745098039215,-8.0,2.0,0.08627450980392157,0.8901960784313725,0.6591354885491374,0.7280769974835616,0.664293046864437,0.22062267119742668,supplied_photo_first_three
89.01960784313725,-7.0,-1.0,0.08235294117647059,0.8901960784313725,0.7318352269950901,0.7817892698617286,0.9356148874151995,0.05276579816416635,supplied_photo_first_three
93.33333333333333,-6.0,-6.0,0.12549019607843137,0.9686274509803922,0.9467506338525303,0.8424114238708286,0.7329381484205565,0.7303733524518919,supplied_photo_first_three
93.72549019607843,-6.0,-2.0,0.07450980392156863,0.9411764705882353,0.6832594376378673,0.8031962745861752,0.8271037480968191,0.025928021768009554,supplied_photo_first_three
81.56862745098039,0.0,-5.0,0.06274509803921569,0.8313725490196079,0.7472687867637484,0.885594453851827,0.6402735533039172,0.09036484339031266,supplied_photo_first_three
